name,station,score,review,address,latitude,longitude
커피스니퍼 신세계백화점 강남점,고속터미널역,3.6,67,서울 서초구 신반포로 176 스위트파크 지하1층,37.5041299,127.0030692
커피랑도서관 반포점,고속터미널역,4.3,71,서울 서초구 고무래로 12 201호,37.5034699,127.0100711
포비 강남점,고속터미널역,3.6,371,서울 서초구 신반포로 지하 188 파미에스테이션 1층 106호,37.5031765,127.0046549
스무디킹 강남고속터미널점,고속터미널역,3.7,9,서울 서초구 신반포로 194 경부선 지하1층,37.5055182,127.0070626
카페안젤로 성의회관점,고속터미널역,3.0,6,서울 서초구 반포대로 222,37.5000792,127.005247
이디야커피 국립중앙도서관디지털관점,고속터미널역,3.1,22,서울 서초구 반포대로 201 지하 1층,37.4973927,127.0033891
그레이핍플 반포원베일리점,고속터미널역,4.5,11,서울 서초구 반포대로 291 원베일리스퀘어,37.4955764,127.0056948
카멜커피 신세계백화점 강남점,고속터미널역,3.7,122,서울 서초구 신반포로 176 지하1층,37.5043637,127.0036211
세라젬웰카페 서울반포직영점,고속터미널역,4.8,61,서울 서초구 서초중앙로 251 1층,37.5038239,127.0105378
데일리스위츠,구일역,2.9,72,서울 구로구 중앙로 9 1층,37.4989014,126.8641957
스타벅스 구로고척점,구일역,4.4,75,서울 구로구 경인로 387,37.497056,126.8632274
투썸플레이스 동양미래대점,구일역,3.6,37,서울 구로구 경인로47길 34-1 1층,37.5009367,126.8662405
메가MGC커피 고척중앙점,구일역,3.4,17,서울 구로구 경인로 403 원메디타운 A동 101호,37.4980711,126.8642182
이디야커피 고척스카이돔점,구일역,4.0,16,서울 구로구 경인로 397 골든타워빌딩 1층,37.4977278,126.8638229
메가MGC커피 구일역점,구일역,2.2,11,서울 구로구 구일로10길 27 SK허브수 B동 1층,37.4958336,126.87265
우니스,구일역,4.5,30,서울 구로구 구일로 130 퀸즈파크구일 1층 107호,37.4966341,126.8720995
이디야커피 구일역점,구일역,,35,서울 구로구 구일로 110 해원리버파크 1층 112~113호,37.4950571,126.8720069
컴포즈커피 동양미래대학점,구일역,5.0,5,서울 구로구 중앙로6길 50 1층,37.5000946,126.8665813
빽다방 구일역점,구일역,2.8,7,서울 구로구 구일로8길 56 구일프라자 1층 102호,37.4956527,126.8740928
고망고 동양미래대점,구일역,4.2,27,서울 구로구 경인로47길 14 1층,37.500272,126.8670405
빙동댕 고척점,구일역,3.2,9,서울 구로구 경인로47길 8,37.5001227,126.8672682
빽다방 동양미래대점,구일역,4.3,13,서울 구로구 경인로47길 23 1층 101호,37.5003847,126.8663955
비마이피스,구일역,4.0,32,서울 구로구 구일로10길 27 SK허브수 A동 상가 1층 132호,37.4958336,126.87265
매머드익스프레스 동양미래대점,구일역,4.5,7,서울 구로구 경인로47길 31 1층 101호,37.5006121,126.8660959
커피온리 동양미래대점,구일역,4.8,4,서울 구로구 경인로47길 13 1층,37.5000364,126.8667595
디저트39 구로헤리움점,구일역,4.3,9,서울 구로구 중앙로 18 1층 106호,37.4996047,126.8647192
어벤더치커피 서울 동양미래대학점,구일역,5.0,4,서울 구로구 중앙로6길 50 1층,37.5000946,126.8665813
메가MGC커피 동양미래대학점,구일역,1.6,10,서울 구로구 경인로47길 26 1층,37.5006922,126.8665475
스타벅스 고척아이파크점,구일역,4.8,45,서울 구로구 경인로43길 49 1층 D-101호,37.4910692,126.8269081
지니네밀크빙수,구일역,5.0,7,서울 구로구 중앙로6길 50 1층,37.5000946,126.8665813
투썸플레이스 개봉역점,구일역,,46,서울 구로구 남부순환로97길 20-1 1-2층,37.4941294,126.8589003
컴포즈커피 철산우성점,구일역,4.7,5,경기 광명시 시청로 139 우성상가 14동 1층 111호,37.4890303,126.8682888
우리들카페,구일역,3.3,9,서울 구로구 구일로4길 49 1층 101호,37.4926966,126.8757867
스위치,구일역,5.0,2,서울 구로구 경인로47길 13 의성빌딩 1층,37.5000364,126.8667595
브리즈커피,구일역,4.0,15,서울 구로구 구일로4길 29 1층,37.4917245,126.8758793
백억커피 구로고척점,구일역,5.0,14,서울 구로구 경인로47길 76 알앤디타워 1층,37.502197,126.8645491
킹콩커피빈,구일역,5.0,4,서울 구로구 중앙로 34 1층,37.50106299999999,126.8636896
헤로즈커피 3호점,구일역,5.0,10,서울 구로구 중앙로3길 12 서봉빌딩 1층,37.5002335,126.8629464
우지커피 구로중앙유통단지점,구일역,5.0,5,"서울 구로구 경인로53길 15 중앙유통단지 판매시설동 지하1층 B36,B37호",37.5010068,126.8746679
스타벅스 강동암사DT점,암사역,4.0,56,서울 강동구 고덕로 43,37.5550483,127.1300217
파트원나이스,암사역,4.5,124,서울 강동구 올림픽로89길 29,37.54762789999999,127.1246294
카페공공장소,암사역,4.6,83,서울 강동구 암사길 7-1 암사동빌딩 1층 101호,37.55106900000001,127.1304125
써니88케이크,암사역,5.0,9,서울 강동구 상암로 12-8 1층 101호,37.5509212,127.1251025
