name,station,score,review,address,latitude,longitude
이곳에,뚝섬역,4.4,102,서울 성동구 왕십리로8길 24 1층,37.5458126,127.0472406
구욱희씨,뚝섬역,3.9,417,"서울 성동구 서울숲4길 12-22 1, 2층",37.5470443,127.0419176
본지르르 성수점,뚝섬역,4.6,426,"서울 성동구 광나루로4가길 13 지하1층, 1-2층",37.5493455,127.054661
피킹플레져,뚝섬역,4.2,152,서울 성동구 왕십리로14길 19-7 1층,37.5488377,127.0459889
로우키커피 헤이그라운드점,뚝섬역,4.1,122,서울 성동구 뚝섬로1나길 5 1층,37.544442,127.0477666
스타벅스 서울숲역,뚝섬역,3.6,120,서울 성동구 왕십리로 50 메가박스 스퀘어 1층,37.5478795,127.0429932
201호,뚝섬역,3.3,1826,서울 성동구 상원1길 35-14 2층 201호,37.5463215,127.0471507
올드타운,뚝섬역,4.7,32,서울 성동구 성수일로10가길 4 1층,37.5479966,127.0519594
클래식 해례커피,뚝섬역,4.1,322,서울 성동구 연무장길 28-20 1층,37.5428516,127.0522379
따우전드 성수점,뚝섬역,3.8,319,서울 성동구 연무장1길 7 1층,37.5445381,127.0505583
단일서울,뚝섬역,4.0,245,서울 성동구 왕십리로 66-33 1층,37.5430007,127.0454699
비도커피,뚝섬역,4.4,238,서울 성동구 왕십리로4길 24-7 2층,37.5468255,127.0466479
아뜰리에8,뚝섬역,4.7,131,"서울 성동구 왕십리로16길 13-1 아뜰리에8 빌딩 1,2층",37.550616,127.0456321
라카페갤러리,서촌,4.7,322,서울 종로구 자하문로10길 28 1층,37.5792927,126.9730284
나무사이로,서촌,4.1,455,서울 종로구 사직로8길 21 1층,37.5746678,126.9709706
스태픽스,서촌,3.3,1194,서울 종로구 사직로9길 22 1층 102호,37.5776587,126.9678039
애즈라이크,서촌,3.9,495,서울 종로구 효자로7길 23 1층,37.5784234,126.9733336
아키비스트,서촌,3.9,768,서울 종로구 효자로13길 52 1층,37.5822158,126.9726772
대오서점,서촌,2.9,91,서울 종로구 자하문로7길 55,37.5797341,126.9693256
인텔리젠시아 커피 서촌,서촌,3.1,423,서울 종로구 자하문로 34 1층,37.5790884,126.9717598
더마틴,서촌,3.9,364,서울 종로구 자하문로 54-1 1층,37.5809502,126.9714965
대충유원지 인왕산,서촌,3.7,374,서울 종로구 필운대로 46 무목적빌딩 4층,37.5800431,126.9688155
테라로사 광화문점,서촌,4.0,355,서울 종로구 종로1길 50 더케이트윈타워 B동 1층,37.574708,126.979549
코피티암커피 경복궁점,서촌,3.5,147,서울 종로구 자하문로4길 7,37.5774028,126.9726376
사직커피,서촌,4.5,173,"서울 종로구 사직로 49-4 1, 2층",37.5738163,126.9650656
내자상회,서촌,4.0,424,서울 종로구 사직로10길 3 1층,37.5757892,126.9704987
포비 광화문점,서촌,4.3,874,서울 종로구 종로3길 17 광화문D타워 1층 21호,37.5709867,126.97892
통의동단팥,서촌,4.4,185,서울 종로구 자하문로 20-1,37.5779575,126.9722402
