name,category,region,score,review,value,price,address,latitude,longitude
스시이치바,"초밥,롤",뚝섬역,4.3,297,24.497501991973238,12250,서울 성동구 왕십리로14길 8 (우)04789,37.54939299999999,127.0448219
비사벌 전주콩나물국밥,국밥,뚝섬역,4.2,276,23.620873525986823,10000,서울 성동구 왕십리로6길 1-2 1층 (우)04778,37.5462676,127.045032
로우키,카페,뚝섬역,4.4,711,28.899542810212697,3675,서울 성동구 연무장3길 6 1층 (우)04782,37.5441954,127.0515838
갓잇 서울숲점,"멕시칸,브라질",뚝섬역,4.6,535,28.907017140925685,41750,서울 성동구 왕십리로10길 9-14 1층 (우)04778,37.5469979,127.0458673
할아버지공장,디저트카페,뚝섬역,3.2,727,21.088963354229396,7250,서울 성동구 성수이로7가길 9 1-2층 (우)04781,37.5411231,127.0548807
차만다 서울숲점,양식,뚝섬역,4.3,2132,32.96072428942681,30500,서울 성동구 서울숲2길 28-12 1층 (우)04768,37.5465921,127.0414517
무색 MUSAEK,일식,뚝섬역,4.5,472,27.715929248213698,30000,서울 성동구 상원2길 1-10 2층 (우)04779,37.5461995,127.0493273
어니언 성수,카페,뚝섬역,3.5,1037,24.307678723040418,5625,서울 성동구 아차산로9길 8 1-2층 (우)04797,37.5447169,127.0582995
호호식당 성수동점,일식,뚝섬역,3.2,291,18.1656121672585,17000,서울 성동구 서울숲4길 25 (우)04768,37.5471159,127.0439136
눈꽃돼지,"육류,고기",뚝섬역,4.5,146,22.456946640504313,21750,서울 성동구 왕십리로8길 17-4 (우)04778,37.5462247,127.0467185
성수베이킹스튜디오,"제과,베이커리",뚝섬역,4.6,790,30.697170651731206,4250,서울 성동구 서울숲2길 46 지하1층 (우)04768,37.5461913,127.0437481
타코튜즈데이 성수점,"멕시칸,브라질",뚝섬역,4.0,878,27.115139590740707,36000,서울 성동구 왕십리로10길 10 1층 (우)04778,37.5467285,127.0456066
권식족발,"족발,보쌈",뚝섬역,4.2,68,17.78324731930849,38666,서울 성동구 아차산로7길 4 1층 (우)04794,37.5455638,127.0543972
성일정육식당,"육류,고기",뚝섬역,2.7,74,11.657217906548038,66250,서울 성동구 아차산로3길 9 1층 (우)04789,37.5482472,127.0469416
성수족발,"족발,보쌈",뚝섬역,3.3,774,21.954447996866044,45000,서울 성동구 아차산로7길 7 1층 (우)04793,37.5460225,127.0542142
홍화돈,삼겹살,뚝섬역,3.7,516,23.117758635681188,36000,서울 성동구 왕십리로4길 23-1 1층 (우)04778,37.5469638,127.0463449
