BASE_YM,CTNP_NM,SGGU_NM,TRDAR_NM,MLE_Y20_BELO_SELG_AMNT,MLE_Y20_SELG_AMNT,MLE_Y30_SELG_AMNT,MLE_Y40_SELG_AMNT,MLE_Y50_SELG_AMNT,MLE_Y60_ANM_SELG_AMNT,WO_Y20_BELO_SELG_AMNT,WO_Y20_SELG_AMNT,WO_Y30_SELG_AMNT,WO_Y40_SELG_AMNT,WO_Y50_SELG_AMNT,WO_Y60_ANM_SELG_AMNT
202312,서울특별시,송파구,장지역,1218781,64994742,200539986,264994543,186070191,84060278,1194208,72220247,225532768,254593506,172577277,64274755
202403,서울특별시,강남구,언주역_2,347244,81283797,340085781,362307647,260246714,120290542,131161,50800854,175146196,153377678,96602672,40677706
202406,서울특별시,종로구,종로5가역_3,129502,158275377,579126669,769516019,785759379,718473842,132636,82858833,272656147,309804608,296188136,291084047
202312,서울특별시,강남구,삼성역_3,0,122333134,612146817,967514450,490217669,125206282,0,59773307,239551315,319302473,204318381,47551034
202307,서울특별시,중구,신당역_2,246227,94877237,239818420,162372728,114596707,69031545,96192,73563367,176833138,111715783,76525390,41550601
202310,서울특별시,동대문구,청량리역,1545847,256739067,673185327,909871988,1061149250,1207857332,1201588,184056202,447329260,602479583,659352422,728516859
202402,서울특별시,강동구,명일역,2134612,105284196,512274330,874612176,713278087,459081583,2310053,83883214,377034069,635099021,505553502,309821812
202310,서울특별시,강남구,신사역_2,1359745,183586498,813620212,713130967,543138909,221440899,1405296,150138762,509017944,362857668,227987999,98380830
202307,서울특별시,동작구,노량진1동,77138,258272893,988186062,941602093,1011077804,746280806,158780,114860682,447650043,437698901,498383487,372768853
202307,서울특별시,용산구,용산 전자상가_1,576699,189468162,698204523,669780442,425452038,177012874,619599,156465719,522544220,495258249,305798459,130800234
202404,서울특별시,용산구,용산 전자상가_1,110112,120394573,594974152,559681928,378526670,175704406,113043,102234239,467788881,426053778,278917526,148075442
202402,서울특별시,중구,동대문시장_2,877063,152527809,517147227,551690581,405327245,230733414,741272,109854827,377115147,403399824,293445480,164873714
202310,서울특별시,강남구,선릉역_4,5338028,891127428,3441275896,3799972758,2720258808,974090616,6018930,509331178,1740460626,1764681811,1318473698,490115609
202308,서울특별시,강남구,선릉역_4,6523259,1120649624,3413020178,4239462907,2930469464,883026271,6491684,564469534,1720637570,1852551619,1407929037,425963858
202308,서울특별시,마포구,홍익대학교,21268311,7095264029,8877866221,4318636429,3853259321,1107194675,23874457,5832642632,6926132750,3523195839,3236491848,877638582
202403,서울특별시,마포구,홍익대학교,18961607,6085391102,9330962407,4142524993,3715493921,1240499035,25894157,4798512370,7273198003,3256767910,3098828339,1025405738
202309,서울특별시,마포구,마포역_2,401509,221061540,1124215356,1534263989,1318092079,598263770,361257,141956817,595356940,616645214,456337744,245727852
202307,서울특별시,용산구,이태원역,1141710,1384031389,3258659482,1440103110,901496311,231403326,1162826,661792951,1312109168,507982932,360554652,121569154
202312,서울특별시,강남구,수서역,3861819,195838680,719735279,998499799,816860952,495686153,2966190,122852467,428342121,536084658,435759202,270883600
202406,서울특별시,동대문구,경동시장_2,0,21536600,126045802,155010962,252052559,352264568,0,13232492,57854868,86774591,141791594,187483193
202308,서울특별시,강서구,발산역,1998131,121613452,393066011,520825669,518203188,300283565,2830333,106740174,309869595,391467976,399916249,241961216
202307,서울특별시,강남구,역삼역_3,0,133700832,469496450,448036866,369978866,103913230,0,89409481,254143390,223955333,169104705,46734174
202310,서울특별시,관악구,서울대입구역_1,3281622,409544661,850809670,800759237,603979656,366579202,2576821,286046102,530292756,381792583,385729832,215563559
202307,서울특별시,종로구,종로5가역_4,0,21937055,90257718,112451207,111579118,85688795,0,18297479,53769843,58739595,55372227,36064211
202401,서울특별시,노원구,노원역_2,748264,103876464,362193373,331638405,471516876,400062403,1011054,62238622,191985088,171350324,258790136,242549294
202309,서울특별시,영등포구,당산역_1,127304,193690514,660523701,659777320,467136741,132611180,97649,118013226,356747766,283879515,239432660,80108595
202405,서울특별시,영등포구,당산역_2,176703,167636890,801867438,580987422,440080507,210043306,107042,92218368,433408861,283635900,204527316,103389078
202405,서울특별시,종로구,광화문역_1,173378,68108584,370125674,429728338,371945283,231912861,187127,52396210,268593484,288391676,218536063,109092646
202406,서울특별시,종로구,동대문시장_1,44843,132499702,494715480,616254523,614485028,749484051,47322,91850796,350228282,409433629,360694565,336662289
202307,서울특별시,강남구,은마아파트입구사거리_2,9029629,25059247,111241956,416238348,467196736,173684720,9963823,23965769,96876805,376324383,413776474,138728685
202309,서울특별시,서대문구,이대역,1468699,231221588,377405628,359853031,498752657,172067842,1843763,320792909,486589556,472122119,673727367,225568699
202401,서울특별시,종로구,혜화역 대학로_3,3091139,601395911,1216675581,897441328,1032164612,421664176,3643847,687238466,1240372744,878754633,1077321964,383681706
202403,서울특별시,종로구,혜화역 대학로_3,2659509,741136525,1355171026,907538086,1103024744,473004511,2989780,743764012,1262350343,817841532,1014758945,398525572
202309,서울특별시,서초구,교대역_2,118612,181778300,904123175,975234963,1161964831,739173807,98667,107187631,421343877,462754391,513371230,322569488
202309,서울특별시,강남구,강남역_5,67433,464834611,1739102032,1358834840,959862235,380385236,48029,285504089,953056424,673562884,454157811,174214875
202308,서울특별시,성동구,장안평 중고차시장골목,0,29811709,62567422,85123186,91117530,78886837,0,17449436,36117540,40808296,36854710,26760601
202405,서울특별시,성동구,한양시장,5571094,972146553,1348049251,690816034,1001839989,327409821,4573646,531198317,737291042,381697287,586680773,198470890
202406,서울특별시,마포구,홍대입구역_3,1481777,410579174,790590652,578110255,479052031,229756081,2160830,391605745,731039285,428399334,373958404,151610083
202312,서울특별시,강북구,미아사거리역_1,4217682,560020857,1272345193,1251309835,1029082563,592361090,4791594,404147808,1050293427,966591003,729407823,472069609
202403,서울특별시,강남구,역삼역_4,395786,381226214,1752321131,2672015279,1724343231,475154788,238425,154751942,708212629,895651299,564792991,163078407
202403,서울특별시,관악구,신림역_1,3544269,1330835745,2257239433,1166219252,839215807,470027432,1851513,734154420,1269904143,619074636,483019752,304992340
202402,서울특별시,중구,을지로3가역_2,0,172663681,752971401,706422551,510454414,194700686,0,87939040,373858802,318250254,216009700,93452488
202401,서울특별시,동작구,사당역_2,191,593193590,2353776579,1239837532,1328099631,969496041,185,394221260,1341146002,637284615,723540788,501611311
202308,서울특별시,중구,을지로4가역,0,62031899,198919459,254326028,301737414,342224266,0,45001683,127231392,134698615,133387304,139566725
202403,서울특별시,구로구,구로기계공구상_1,1102147,33779772,127702533,259580394,281678720,219119529,673304,16008497,62294513,111443685,127112563,82959148
202312,서울특별시,구로구,구로기계공구상_1,578101,30807201,110833845,226132064,266351905,175260177,240607,16118028,45244327,76805783,90547825,46818961
202406,서울특별시,구로구,구로역,75611,27118530,171169200,176658136,193948536,101431185,94378,19456535,107142174,113360072,110450444,58611278
202405,서울특별시,강남구,대치역_2,2460849,12890206,60841896,238133797,200078018,165602641,2564976,9528205,53529040,201403467,169225543,145469155
202406,서울특별시,강남구,선정릉역_1,0,34072204,168006726,182109988,198371929,199363702,0,17992008,70231213,80803595,80555307,97906162
202404,서울특별시,강남구,양재역_2,3774620,167284606,1127644483,1052312015,515882332,284220223,3095647,83188853,484277049,468436761,244696365,143953263
202402,서울특별시,강남구,언주역_1,0,19408238,124299565,322031680,522497717,83630753,0,12158493,66120116,142259177,113724782,32236568
202403,서울특별시,강동구,천호역_1,1602606,525435115,1576504215,1098852057,778856177,393174786,1665667,346109479,964496976,683729563,515090267,276884867
202404,서울특별시,양천구,등촌역,779196,103775347,500166905,538908953,523916289,438620834,746695,72967506,351808821,390432601,413517410,377876394
202312,서울특별시,양천구,등촌역,954295,143142738,498660610,500254988,524209544,375224156,977257,99625195,338589360,359625082,369663062,282670658
202406,서울특별시,마포구,홍대입구역_2,249933,156517348,485632405,383891563,339860075,159928800,416840,161034464,418021216,283257659,240733552,107385174
202403,서울특별시,강남구,학동역_1,102211,5837343,50909667,59081237,58074563,35561864,53001,3703547,31114608,33243363,33220074,19977674
202311,서울특별시,관악구,서울대입구역_2,424631,226537605,451386050,432908578,554155942,269039830,442553,149877825,321209527,268313902,309395822,209964607
202401,서울특별시,서초구,남부터미널역_3,35962,43799958,390039075,448093714,354503005,212214465,34103,22325042,189387945,213429754,155366718,102398838
202307,서울특별시,마포구,공덕역_1,358425,73673540,333419289,348934980,307576580,164232084,401589,62014305,261980166,278839344,251966409,152097058
202402,서울특별시,동작구,보라매공원,1220217,194995167,892967074,1146847071,859065393,559039619,991339,160818867,689776003,845046094,620520417,392339722
202307,서울특별시,영등포구,영등포유통상가,0,30804639,147983142,252907353,218652927,109194664,0,10186168,58535016,76012006,68061947,44906109
202401,서울특별시,영등포구,영등포유통상가,0,32920260,178925471,279199894,201596748,131790094,0,15185278,84184199,94435322,93145158,73388509
202311,서울특별시,서초구,포이사거리_2,822652,180455413,596122897,630046204,569662935,402315173,448122,96912546,300564997,278382030,233383400,183811103
202310,서울특별시,은평구,연신내역_1,1881455,56899641,159183343,206009133,250129211,121831383,879914,43142199,119232620,151570353,153015959,83798858
202307,서울특별시,종로구,혜화역 대학로_1,4313807,347709497,744490240,581317826,698158721,198437038,6863695,467107713,1005556620,735160097,755608200,233986320
202406,서울특별시,구로구,구로기계공구상_2,1019693,9393148,60460798,100464827,161561148,84556746,776394,5825956,40229036,61601441,79418755,45639996
202309,서울특별시,강남구,강남역_3,4302209,2157842536,4673461820,2662172930,1669269952,456635319,4537135,1783991551,3296512548,1647103740,1100801684,292395236
202403,서울특별시,마포구,신촌역_1,426265,231166064,690811067,573329083,644752397,480474339,481977,161480479,366786446,332684568,390951448,301986165
202402,서울특별시,구로구,가리봉시장(구로디지털오거리),0,2226644,53624360,67844046,96898899,45127377,0,1097291,36429883,23938095,38775934,25600477
202403,서울특별시,관악구,신림역_2,696332,135582061,298591939,170276838,121656135,73235832,923292,115638923,246621852,145583421,115376254,61092101
202309,서울특별시,서초구,양재 화물트럭터미널앞,0,13378424,29915648,40507108,37133651,12125678,0,3258966,8271296,10762449,8358464,2890942
202405,서울특별시,서초구,논현역_3,1080202,242536745,1101067273,982373828,914996290,325848572,666848,153325293,611931504,490131671,340579996,173219811
202310,서울특별시,강남구,청담역_1,0,15366390,105959642,370520650,286260699,58214071,0,5755844,31571563,65642520,49961186,20330967
202405,서울특별시,강남구,청담역_1,0,24525307,89140928,264052407,271337992,57142280,0,10027959,42291231,73464287,63663356,24604697
202402,서울특별시,종로구,안국역,514906,137218401,521630446,463871616,436197017,274270232,427033,137707254,480938920,394016152,389034839,234328959
202401,서울특별시,금천구,가산디지털단지역_1,31899,162425132,708318072,801956009,800081477,284336917,33263,82053171,374787258,390815857,355398586,140615516
202406,서울특별시,서초구,신사역_1,746325,101794513,410698641,562831377,567914856,394407611,497072,47645183,195446625,226641739,224799402,143449591
202310,서울특별시,강남구,언주역_2,57,117882447,371575364,496684966,275267649,114266184,55,69332605,203150755,183027982,104220926,60492273
202308,서울특별시,강남구,언주역_2,0,102316093,445009969,512227424,311980247,144393556,0,59060689,212057528,152001363,103669978,56583510
