지점,지점명,일시,1시간 최다강수량(mm),최대 풍속(m/s)
108,서울,2024-12-12,,4.9
108,서울,2024-12-13,,5
108,서울,2024-12-14,,4.5
108,서울,2024-12-15,,5.6
108,서울,2024-12-16,,3.8
108,서울,2024-12-17,,4.7
108,서울,2024-12-18,,3.9
108,서울,2024-12-19,,3
108,서울,2024-12-20,,3
108,서울,2024-12-21,,5.4
108,서울,2024-12-22,,4.9
108,서울,2024-12-23,,4.5
108,서울,2024-12-24,,3.4
108,서울,2024-12-25,,3.8
108,서울,2024-12-26,,5.6
108,서울,2024-12-27,,5.8
108,서울,2024-12-28,,5.8
108,서울,2024-12-29,,2.8
108,서울,2024-12-30,,6.9
108,서울,2024-12-31,,5
